Name;Moulding Type;Short Description;Description;Price;Landscape & portrait?;Foil Blocking;Mount Color;Print Size;Mount Size
Gift Frame 6x4inch framed print;Ansel;slim matte black gallery moulding;A modern, slim profile black frame, perfect for most styles of art and photography.;32.95;yes;yes;black;152x102;
Gift Frame 6x4inch framed print;Irving;slim white matte gallery moulding;Modern, slim white gallery frame, works with most things. Lets bold colours pop without competing.;32.95;yes;yes;white;152x102;
Gift Frame 6x4inch framed print;Brancaster;textured barewood;tones and texture of the place in Norfolk;32.95;yes;yes;brown;152x102;
Gift Frame 6x4inch framed print;Perlino;white washed scoop moulding;texture and colour like the perlino horse. great with all art and photography.;32.95;yes;yes;white;152x102;
7x5inch framed print;Ansel;slim matte black gallery moulding;A modern, slim profile black frame, perfect for most styles of art and photography.;34.95;yes;yes;black;178x127;60
7x5inch framed print;Irving;slim white matte gallery moulding;Modern, slim white gallery frame, works with most things. Lets bold colours pop without competing.;34.95;yes;yes;white;178x127;60
7x5inch framed print;Brancaster;textured barewood;tones and texture of the place in Norfolk;34.95;yes;yes;brown;178x127;60
7x5inch framed print;Perlino;white washed scoop moulding;texture and colour like the perlino horse. great with all art and photography.;34.95;yes;yes;white;178x127;60
Bigger Gift 8x10inch framed print;Ansel;slim matte black gallery moulding;A modern, slim profile black frame, perfect for most styles of art and photography.;34.95;yes;yes;black;203x254;65
Bigger Gift 8x10inch framed print;Irving;slim white matte gallery moulding;Modern, slim white gallery frame, works with most things. Lets bold colours pop without competing.;34.95;yes;yes;white;203x254;65
Bigger Gift 8x10inch framed print;Brancaster;textured barewood;tones and texture of the place in Norfolk;34.95;yes;yes;brown;203x254;65
Bigger Gift 8x10inch framed print;Perlino;white washed scoop moulding;texture and colour like the perlino horse. great with all art and photography.;34.95;yes;yes;white;203x254;65